"agricultural_veterinary_sciences","arts_design","business_management_law","education_training","engineering_technology","health_medicine","humanities_languages","ict","natural_sciences","social_behavioral_sciences","services","transport_safety_security_military"
"NA","Theatre and Performance","Supply Chain Management and Analytics","NA","Mechanical Systems Engineering","Psychology","Sociology","NA","NA","NA","NA","NA"
"NA","Theatre and Performance Studies","Taxation","NA","Mechatronics Engineering","Public Health","South Asian Studies","NA","NA","NA","NA","NA"
"NA","Theatre Art","Technical Textile Management","NA","Multimedia Engineering","Quantitative Biosciences and Engineering","Southeast Asian Studies","NA","NA","NA","NA","NA"
"NA","Theatre Art and Performance Studies","Textile Business Analytics","NA","Nano and Materials Engineering","Radiation Science","Spanish","NA","NA","NA","NA","NA"
"NA","Theatre Directing","Textile Management","NA","Nano Engineering","Radiologic Technology","Spanish and Iberian Studies","NA","NA","NA","NA","NA"
"NA","Theatre Production/Design","Tourism","NA","Nano-Bio Engineering","Radiological Science","Spanish and Portuguese","NA","NA","NA","NA","NA"
"NA","Theatre Studies","Tourism and Hospitality","NA","Nano-material Science and Engineering","Rehabilitation and Therapy","Spanish Language and Culture","NA","NA","NA","NA","NA"
"NA","Traditional Korean Music","Tourism and Hospitality Management","NA","Nanotechnology Engineering","Rehabilitation Science","Spanish Language and Literature","NA","NA","NA","NA","NA"
"NA","Traditional Music","Tourism and Hotel Management","NA","Naval Architecture","Rehabilitation Science/Professions","Swahili","NA","NA","NA","NA","NA"
"NA","Urban Design","Tourism and Resort Management","NA","Naval Architecture and Ocean Engineering","Reproductive Health","Tamil","NA","NA","NA","NA","NA"
"NA","Urban Planning","Tourism and Travel Management","NA","Network Engineering","Respiratory Care","Teaching English to Speakers of Other Languages (TESOL)","NA","NA","NA","NA","NA"
"NA","UX/UI Design","Tourism and Travel Service Management","NA","Nuclear and Quantum Engineering","Respiratory Therapy","Technical Communication","NA","NA","NA","NA","NA"
"NA","Visual and Environmental Studies","Tourism and Travel Services Management","NA","Nuclear Engineering","Secondary Education","Telugu","NA","NA","NA","NA","NA"
"NA","Visual and Media Studies","Tourism Management","NA","Nuclear Engineering and Management","Social Welfare","Thai","NA","NA","NA","NA","NA"
"NA","Visual and Performing Art","Trade Law","NA","Ocean Engineering","Social Work","Thai Language and Literature","NA","NA","NA","NA","NA"
"NA","Visual Art","NA","NA","Ocean Systems Engineering","Special Education","Theatre","NA","NA","NA","NA","NA"
"NA","Visual Art Education","NA","NA","Physics","Speech","Theology","NA","NA","NA","NA","NA"
"NA","Visual Communication","NA","NA","Precision Engineering","Speech and Hearing","Theology Ministry","NA","NA","NA","NA","NA"
"NA","Visual Communication Design","NA","NA","railway Engineering","Speech and Hearing Science","Theology/Theological Studies","NA","NA","NA","NA","NA"
"NA","Visual Design","NA","NA","Robotics","Speech Pathology","Translation","NA","NA","NA","NA","NA"
